Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Einarbeitungsphase",2024-10-01,2024-10-23,17 day,0,"","",,"<p><br></p>"
2,2,"Erste Besprechung",2024-10-01,2024-10-01,0 day,0,"","",,"<p><br></p>"
2,3,"Zeitplan erstellen",2024-10-07,2024-10-09,3 day,0,"2FS+4 days","",,"<p><br></p>"
2,5,"Entwicklungsumgebung einrichten",2024-10-07,2024-10-07,0 day,0,"","",,"<p><br></p>"
2,4,"Einarbeitung in JavaScript",2024-10-07,2024-10-18,10 day,0,"5FS","",,"<p><br></p>"
2,6,"Einarbeiten in three.js",2024-10-14,2024-10-18,5 day,0,"","",,"<p><br></p>"
2,7,"Einarbeiten in Fouriertransforamtion mit JS",2024-10-16,2024-10-22,5 day,0,"","",,"<p><br></p>"
2,8,"Einarbeiten in Audio Verarbeitung mit JS",2024-10-17,2024-10-23,5 day,0,"","",,"<p><br></p>"
1,9,"Durchführungsphase",2024-10-24,2024-11-20,20 day,0,"","",,"<p><br></p>"
2,10,"Demonstrator Programmieren",2024-10-24,2024-11-06,10 day,0,"","",,"<p><br></p>"
2,11,"Verbesserungsvorschläge",2024-11-07,2024-11-07,0 day,0,"10FS","",,"<p><br></p>"
2,12,"Verbesserungsvorschläge umsetzen",2024-11-07,2024-11-13,5 day,0,"11FS","",,"<p><br></p>"
2,13,"Vorzeigen des Standes",2024-11-13,2024-11-13,0 day,0,"12FS","",,"<p><br></p>"
2,14,"Programmierarbeit beenden",2024-11-14,2024-11-20,5 day,0,"13FS","",,"<p><br></p>"
2,15,"Fertiges Programm",2024-11-20,2024-11-20,0 day,0,"14FS","",,"<p><br></p>"
1,16,"Schreibphase",2024-11-21,2024-12-13,17 day,0,"","",,"<p><br></p>"
2,17,"Studienarbeit Schreiben",2024-11-21,2024-12-04,10 day,0,"","",,"<p><br></p>"
2,19,"Korrekturlesen/Verbesserungen",2024-12-04,2024-12-04,0 day,0,"17FS","",,"<p><br></p>"
2,20,"Verbesserungen umsetzen",2024-12-05,2024-12-11,5 day,0,"19FS","",,"<p><br></p>"
2,21,"Letzte Korrekturvorschläge",2024-12-11,2024-12-11,0 day,0,"20FS","",,"<p><br></p>"
2,22,"Schreibarbeit beenden",2024-12-12,2024-12-13,2 day,0,"21FS","",,"<p><br></p>"
2,25,"Bevorzugte Abgabe",2024-12-13,2024-12-13,0 day,0,"22FS","",,"<p><br></p>"
1,18,"Klausurphase",2024-12-16,2024-12-20,5 day,0,"","",331,"<p><br></p>"
1,23,"Ausweichphase",2024-12-23,2025-01-08,12 day,0,"","",,"<p><br></p>"
2,24,"Zusätzliche Schreibzeit",2024-12-23,2024-12-27,5 day,0,"","",,"<p><br></p>"
2,26,"Letzte Abgabe digital",2025-01-03,2025-01-03,0 day,0,"24FS+4 days","",,"<p><br></p>"
2,27,"Letzte Abgabe Druckform",2025-01-08,2025-01-08,0 day,0,"26FS+3 days","",,"<p><br></p>"
